,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
20,cybersec_feeds,check out a privacy oriented social media platform 👉🏾https://t.co/KkqBnPkRZK Cyber Security News in 1 place! Retweets original Cyber Sec tweets. 🤖 made by @AbdirahiimYa,Internet,1,20320,2119758,28,"Did you know? #Unica Discover is #cloud native!

#hclswlobp #UnicaIsBack #HCLSoftware #nocode #lowcode #devops #nodejs #flutter #Python #Serverless #javascript #cybersecurity #womenintech #100DaysOfCode #postcovid #ai #iot #bot #codenewbie #github #digital https://t.co/jHa4NtlZug","['Unica', 'cloud', 'hclswlobp', 'UnicaIsBack', 'HCLSoftware', 'nocode', 'lowcode', 'devops', 'nodejs']"
21,MaurierAnne,#fresh and #frozen #cargo #shipping #logistics specialist. GET EASYFRESH APP ! Check the Appstore or Google Play,"Valencia, Comunidad Valenciana",1720,899,12164,6,"#Containerships sale &amp; purchase maket skyrocketing. The number of cellular #container #vessels reached an ATH in 2021 after shipowners appeared willing to pay almost any price to secure #tonnage in the frenetic #postCovid #market, says @Alphaliner https://t.co/6cfBwlBE4G","['Containerships', 'container', 'vessels']"
22,AdvSurashmigoel,"Taxation Lawyer,
Goel Solution of Tax(GST)⚖️

Adv Surashmi Goel🙏
Your Suru❤️","Hapur, India",325,181,39,13,"#Budget2022 balances the requirements for accelerating growth while taking care of equity. It addresses #postcovid challenges while laying the foundations for a #NewIndia that will meet the aspirations of its young population: VC @RajivKumar1

#PolicyPost

https://t.co/80DXVAmtrJ https://t.co/YxSH7CqKZs","['Budget2022', 'postcovid']"
23,iraskinclinic,,,42,30,181,0,"Are you tired of hair loss? Many people find that their hair begins falling out after recovering from Covid-19. 
Contact Number :-📞+ 91 9581805555
#hairloss #hairlosstreatment #hairlosssolution #hairlosshelp #hairlossspecialist #postcovid #PostCovidHairLoss #hairlossremedy #hair https://t.co/eI08drZiCk","['hairloss', 'hairlosstreatment', 'hairlosssolution', 'hairlosshelp', 'hairlossspecialist', 'postcovid', 'PostCovidHairLoss', 'hairlossremedy', 'hair']"
24,Easyfreshglobal,The world's only #Global #Reefer #Logistics Suppliers.#Transport #solutions for #perishable #cargo | Download our APP !! https://t.co/L7wHyNaFqJ,Worldwide,12202,12342,104784,6,"#Containerships sale &amp; purchase maket skyrocketing. The number of cellular #container #vessels reached an ATH in 2021 after shipowners appeared willing to pay almost any price to secure #tonnage in the frenetic #postCovid #market, says @Alphaliner https://t.co/6cfBwlBE4G","['Containerships', 'container', 'vessels']"
25,rafaelxllerena,"London,UK 1964. If you can't direct the wind;adjust your sails! #shipping #logistics | The free #economy is the friend of social capital | CEO @easyfreshglobal","Valencia,Spain",5438,6959,11381,6,"#Containerships sale &amp; purchase maket skyrocketing. The number of cellular #container #vessels reached an ATH in 2021 after shipowners appeared willing to pay almost any price to secure #tonnage in the frenetic #postCovid #market, says @Alphaliner https://t.co/6cfBwlBE4G","['Containerships', 'container', 'vessels']"
26,chaithrakodmad,Anaesthesiology resident👩🏻‍⚕️| COVID frontline😷 | Fiction enthusiast and a realist,"Bengaluru, India",375,1539,990,0,"Alive and well! Struggling with the mask though.
#postcovid #backtowork https://t.co/qQ7Fog8eg4","['postcovid', 'backtowork']"
27,Cassandra909,"Coffee drinkin’ Ultra runner. Kicked breast cancer's *ss, Avid UK, Dierks, Church & AshleyMcBryde fan. #Nuun & #SingletrackRacing ambasador","ÜT: 38.797481,-121.262025",3867,1098,14855,0,Lunch break mile. #mileforlunch #treadmill #slowandsteady #postcovid https://t.co/RzEfNftNmD,"['mileforlunch', 'treadmill', 'slowandsteady', 'postcovid']"
28,TheCuriousLuke,Luke identifies himself as a: #ACLS #Masterstudent @zhaw ¦ #Biotechnologist ¦ former #Chemical #Labtechnician 👨‍🔬 ¦ #Human,Switzerland,254,6832,420510,54,"What is WEB 3.0?

#hclswlobp #hclconnections #nocode #lowcode #javascript #cybersecurity #Python #nodejs #flutter #codenewbie #github #devops #womenintech #100DaysOfCode #datascience #Serverless #ai #iot #bot #postcovid #machinelearning #DEVCommunity
 https://t.co/1L49vlfRgH","['hclswlobp', 'hclconnections', 'nocode', 'lowcode', 'javascript', 'cybersecurity', 'Python', 'nodejs', 'flutter']"
29,fluttbot,"I retweet your tweets with #flutter

Write me to add more hastags! 👇

made by @alfredobs97",,4,2497,609399,54,"What is WEB 3.0?

#hclswlobp #hclconnections #nocode #lowcode #javascript #cybersecurity #Python #nodejs #flutter #codenewbie #github #devops #womenintech #100DaysOfCode #datascience #Serverless #ai #iot #bot #postcovid #machinelearning #DEVCommunity
 https://t.co/1L49vlfRgH","['hclswlobp', 'hclconnections', 'nocode', 'lowcode', 'javascript', 'cybersecurity', 'Python', 'nodejs', 'flutter']"
30,XeronBot,"Beep! Boop!
I am a Bot that likes and retweets latest tweets with #100DaysOfCode
Created by: @Musheer360",Crawling Twitter,1,333,87665,54,"What is WEB 3.0?

#hclswlobp #hclconnections #nocode #lowcode #javascript #cybersecurity #Python #nodejs #flutter #codenewbie #github #devops #womenintech #100DaysOfCode #datascience #Serverless #ai #iot #bot #postcovid #machinelearning #DEVCommunity
 https://t.co/1L49vlfRgH","['hclswlobp', 'hclconnections', 'nocode', 'lowcode', 'javascript', 'cybersecurity', 'Python', 'nodejs', 'flutter']"
31,_reactdev,"React, Redux and React-Native Developer",Everywhere,89,8491,288053,54,"What is WEB 3.0?

#hclswlobp #hclconnections #nocode #lowcode #javascript #cybersecurity #Python #nodejs #flutter #codenewbie #github #devops #womenintech #100DaysOfCode #datascience #Serverless #ai #iot #bot #postcovid #machinelearning #DEVCommunity
 https://t.co/1L49vlfRgH","['hclswlobp', 'hclconnections', 'nocode', 'lowcode', 'javascript', 'cybersecurity', 'Python', 'nodejs', 'flutter']"
32,morolswediu,"I am a bot, develop by @jinnatul_md, to retweet #nodejs OR #javascript OR #100daysofCode

⭐https://t.co/GYO2ev1MUU

☕  https://t.co/pfDHuGBNIq","Dhaka, Bangladesh",3,2870,1001427,54,"What is WEB 3.0?

#hclswlobp #hclconnections #nocode #lowcode #javascript #cybersecurity #Python #nodejs #flutter #codenewbie #github #devops #womenintech #100DaysOfCode #datascience #Serverless #ai #iot #bot #postcovid #machinelearning #DEVCommunity
 https://t.co/1L49vlfRgH","['hclswlobp', 'hclconnections', 'nocode', 'lowcode', 'javascript', 'cybersecurity', 'Python', 'nodejs', 'flutter']"
33,Lala35539674,We amplify the voices of mobile developers. Grow your software project by engaging your supporters with https://t.co/oObO7vtdrM 🤯,,0,1172,198319,54,"What is WEB 3.0?

#hclswlobp #hclconnections #nocode #lowcode #javascript #cybersecurity #Python #nodejs #flutter #codenewbie #github #devops #womenintech #100DaysOfCode #datascience #Serverless #ai #iot #bot #postcovid #machinelearning #DEVCommunity
 https://t.co/1L49vlfRgH","['hclswlobp', 'hclconnections', 'nocode', 'lowcode', 'javascript', 'cybersecurity', 'Python', 'nodejs', 'flutter']"
34,iChiragChhillar,"A Web Developer Interested in Machine Learning • Investor • Love b2b, SaaS.
Retweets are not endorsements.

Creator of @JustDataScience","New Delhi, India",583,92,3553,54,"What is WEB 3.0?

#hclswlobp #hclconnections #nocode #lowcode #javascript #cybersecurity #Python #nodejs #flutter #codenewbie #github #devops #womenintech #100DaysOfCode #datascience #Serverless #ai #iot #bot #postcovid #machinelearning #DEVCommunity
 https://t.co/1L49vlfRgH","['hclswlobp', 'hclconnections', 'nocode', 'lowcode', 'javascript', 'cybersecurity', 'Python', 'nodejs', 'flutter']"
35,Bills_Bot,"I'm a Bot🤖, retweets #100daysofcode. Created by @sofibilal193.",Jammu And Kashmir,106,1165,421216,54,"What is WEB 3.0?

#hclswlobp #hclconnections #nocode #lowcode #javascript #cybersecurity #Python #nodejs #flutter #codenewbie #github #devops #womenintech #100DaysOfCode #datascience #Serverless #ai #iot #bot #postcovid #machinelearning #DEVCommunity
 https://t.co/1L49vlfRgH","['hclswlobp', 'hclconnections', 'nocode', 'lowcode', 'javascript', 'cybersecurity', 'Python', 'nodejs', 'flutter']"
36,xaelbot,"A bot, I like and retweet on #100DaysOfCode. Block if don't want to be retweeted.",Earth,7,5604,1471548,54,"What is WEB 3.0?

#hclswlobp #hclconnections #nocode #lowcode #javascript #cybersecurity #Python #nodejs #flutter #codenewbie #github #devops #womenintech #100DaysOfCode #datascience #Serverless #ai #iot #bot #postcovid #machinelearning #DEVCommunity
 https://t.co/1L49vlfRgH","['hclswlobp', 'hclconnections', 'nocode', 'lowcode', 'javascript', 'cybersecurity', 'Python', 'nodejs', 'flutter']"
37,TheFieryBot,"Hello World! I'm The Fiery Bot 🙏
I tweet inspirational quotes to stay inspire you on your journey🛣️ 
My creator is @thefierycoder, feel free to follow him",,32,1083,148831,54,"What is WEB 3.0?

#hclswlobp #hclconnections #nocode #lowcode #javascript #cybersecurity #Python #nodejs #flutter #codenewbie #github #devops #womenintech #100DaysOfCode #datascience #Serverless #ai #iot #bot #postcovid #machinelearning #DEVCommunity
 https://t.co/1L49vlfRgH","['hclswlobp', 'hclconnections', 'nocode', 'lowcode', 'javascript', 'cybersecurity', 'Python', 'nodejs', 'flutter']"
38,iedufp,"Veni, vidi, vici  ... mi tropa siempre me enseña que debo ser mejor dia a dia 👍",,1532,390,20783,54,"What is WEB 3.0?

#hclswlobp #hclconnections #nocode #lowcode #javascript #cybersecurity #Python #nodejs #flutter #codenewbie #github #devops #womenintech #100DaysOfCode #datascience #Serverless #ai #iot #bot #postcovid #machinelearning #DEVCommunity
 https://t.co/1L49vlfRgH","['hclswlobp', 'hclconnections', 'nocode', 'lowcode', 'javascript', 'cybersecurity', 'Python', 'nodejs', 'flutter']"
39,iPythonistaBot,I'm Pythonista The Bot. Created using python by @iharshgor. My job is to retweet any tweet that says python.,,4,2931,1057889,54,"What is WEB 3.0?

#hclswlobp #hclconnections #nocode #lowcode #javascript #cybersecurity #Python #nodejs #flutter #codenewbie #github #devops #womenintech #100DaysOfCode #datascience #Serverless #ai #iot #bot #postcovid #machinelearning #DEVCommunity
 https://t.co/1L49vlfRgH","['hclswlobp', 'hclconnections', 'nocode', 'lowcode', 'javascript', 'cybersecurity', 'Python', 'nodejs', 'flutter']"
40,sectest9,News Hub! Get the latest Security News & Updates!,"Hyderabad, India",1,38533,2600139,54,"What is WEB 3.0?

#hclswlobp #hclconnections #nocode #lowcode #javascript #cybersecurity #Python #nodejs #flutter #codenewbie #github #devops #womenintech #100DaysOfCode #datascience #Serverless #ai #iot #bot #postcovid #machinelearning #DEVCommunity
 https://t.co/1L49vlfRgH","['hclswlobp', 'hclconnections', 'nocode', 'lowcode', 'javascript', 'cybersecurity', 'Python', 'nodejs', 'flutter']"
41,CyberSecurityN8,"The place for InfoSec, CyberSecurity, DevSecOps, DataSecurity and many more!!! Stay tuned.",,2,23654,1089291,54,"What is WEB 3.0?

#hclswlobp #hclconnections #nocode #lowcode #javascript #cybersecurity #Python #nodejs #flutter #codenewbie #github #devops #womenintech #100DaysOfCode #datascience #Serverless #ai #iot #bot #postcovid #machinelearning #DEVCommunity
 https://t.co/1L49vlfRgH","['hclswlobp', 'hclconnections', 'nocode', 'lowcode', 'javascript', 'cybersecurity', 'Python', 'nodejs', 'flutter']"
42,cybersec_feeds,check out a privacy oriented social media platform 👉🏾https://t.co/KkqBnPkRZK Cyber Security News in 1 place! Retweets original Cyber Sec tweets. 🤖 made by @AbdirahiimYa,Internet,1,20320,2119758,54,"What is WEB 3.0?

#hclswlobp #hclconnections #nocode #lowcode #javascript #cybersecurity #Python #nodejs #flutter #codenewbie #github #devops #womenintech #100DaysOfCode #datascience #Serverless #ai #iot #bot #postcovid #machinelearning #DEVCommunity
 https://t.co/1L49vlfRgH","['hclswlobp', 'hclconnections', 'nocode', 'lowcode', 'javascript', 'cybersecurity', 'Python', 'nodejs', 'flutter']"
43,peoni33s,"dibujos, simp profesional, multifandom, shitpost, hablo de monitos animados  • 🇻🇪 • she/her • art account: @peonieeee • match con: @kumokyanon",esqueletolandia,265,246,63028,169,"Stan and Kyle!
#SouthPark #southparkfanart #postcovid #fanart #krita https://t.co/zZ9jGEA5ZY","['SouthPark', 'southparkfanart', 'postcovid', 'fanart', 'krita']"
44,SduttI,"WYSIWYG

What you see is what you get",,129,219,547,13,"#Budget2022 balances the requirements for accelerating growth while taking care of equity. It addresses #postcovid challenges while laying the foundations for a #NewIndia that will meet the aspirations of its young population: VC @RajivKumar1

#PolicyPost

https://t.co/80DXVAmtrJ https://t.co/YxSH7CqKZs","['Budget2022', 'postcovid']"
45,Chavivohra,#ChildRights | #EarlyChildhood l Co-curator - @SDG2030 l #GenderEquality I #GirlsLead l #EndGBV l #WebWonderWomen Awardee 🥇 l #Mindfulness l @mobile_Creches,India,517,3167,52477,13,"#Budget2022 balances the requirements for accelerating growth while taking care of equity. It addresses #postcovid challenges while laying the foundations for a #NewIndia that will meet the aspirations of its young population: VC @RajivKumar1

#PolicyPost

https://t.co/80DXVAmtrJ https://t.co/YxSH7CqKZs","['Budget2022', 'postcovid']"
46,arshadfilms,17 Awards for Abu film. Filmmaker/Festival director. DGC director & production designer. Kindness is more powerful than your outrage. Spread joy!,"Montreal, Canada",2073,2414,27082,3,"It’s happening ! Installing the show #..tillAllareHealed, thanking front liners for their service and artistic impressions of #CovidRecovery #postcovid era.. @AGMengage  opening this weekend with 28 artists including @CharlesPachter with his brand new works . Supported by #Ccai https://t.co/bF4F2fkCj6",[]
47,arshadfilms,17 Awards for Abu film. Filmmaker/Festival director. DGC director & production designer. Kindness is more powerful than your outrage. Spread joy!,"Montreal, Canada",2073,2414,27082,3,"02.02.2022 The CCAI supported show goes up at the @AGMengage today . Entitled…..till all are healed, curated by @Iamasmamahmood , it’s to thank the #frontliners , bring attention to our lives as we step into #postcovid era, and a message of hope . Thanks to funders and the arts https://t.co/1gyNssIDfm",[]
48,SDG2030,#SustainableDevelopmentGoals l #SDGs l #SDGsImpactChat l #PlanetHealthMyHealth  l #BuildSustainableNow,No Planet B ,497,89929,142833,13,"#Budget2022 balances the requirements for accelerating growth while taking care of equity. It addresses #postcovid challenges while laying the foundations for a #NewIndia that will meet the aspirations of its young population: VC @RajivKumar1

#PolicyPost

https://t.co/80DXVAmtrJ https://t.co/YxSH7CqKZs","['Budget2022', 'postcovid']"
49,TheAmirImani,"Hospital #Pharmacy / Neuro Rehab / Research.

I talk about drugs, diseases, drugs, misinformation, and drugs.

Opinions mine and not particularly good.",Toronto,588,2137,3513,1,"Great segment from @CBCTheNational on #PostCOVID / #LongCOVID and #ICU complications. We can’t talk about the cost of COVID without discussing these risks.

https://t.co/hwJNrFd1w9","['PostCOVID', 'LongCOVID', 'ICU']"
50,THAILANDMEDICA1,A trusted source for all your medical and life science needs & informative portal for medical research and recent innovations in healthcare.,"Bangkok, Thailand",182,2228,5008,0,"WARNING! Scientists From Shiraz University of Medical Sciences Confirm That Cerebral Venous Sinus Thrombosis (CVST) Incidences Are High As Result Of COVID-19!
https://t.co/JxCIif8s3F
#brain #CVST #Covid_19 #LongCovidKids #USA #American #Canada #UK #Europe #Australia #postcovid","['brain', 'CVST', 'Covid_19', 'LongCovidKids', 'USA', 'American', 'Canada', 'UK', 'Europe', 'Australia', 'postcovid']"
51,TheAmirImani,"Hospital #Pharmacy / Neuro Rehab / Research.

I talk about drugs, diseases, drugs, misinformation, and drugs.

Opinions mine and not particularly good.",Toronto,588,2137,3513,1,"Great segment from @CBCTheNational on #PostCOVID / #LongCOVID and #ICU complications. We can’t talk about the cost of COVID without discussing these risks.

https://t.co/hwJNrFd1w9","['PostCOVID', 'LongCOVID', 'ICU']"
52,purnimaverma,Architect; Climate change & sustainable development @ceptuniversity1,India,806,114,1943,0,"some #postcovid good.
drove a bit after long yesterday. too tired. slept at 5. woke up twice for a totes an hour.
starting the day at 5, bhrama-muhurat. hope it stays 😬",['postcovid']
53,Promenadeart,,,353,195,1406,3,"It’s happening ! Installing the show #..tillAllareHealed, thanking front liners for their service and artistic impressions of #CovidRecovery #postcovid era.. @AGMengage  opening this weekend with 28 artists including @CharlesPachter with his brand new works . Supported by #Ccai https://t.co/bF4F2fkCj6",[]
54,Promenadeart,,,353,195,1406,3,"02.02.2022 The CCAI supported show goes up at the @AGMengage today . Entitled…..till all are healed, curated by @Iamasmamahmood , it’s to thank the #frontliners , bring attention to our lives as we step into #postcovid era, and a message of hope . Thanks to funders and the arts https://t.co/1gyNssIDfm",[]
55,Iamasmamahmood,"Visual artist/ Cultural markets expert/ history, poetry, science/ Artistic Director CCAI /cofounder Mosaic Festival RTC MISAFF https://t.co/iST0GuIDrM",Mississauga,1405,2118,20683,3,"02.02.2022 The CCAI supported show goes up at the @AGMengage today . Entitled…..till all are healed, curated by @Iamasmamahmood , it’s to thank the #frontliners , bring attention to our lives as we step into #postcovid era, and a message of hope . Thanks to funders and the arts https://t.co/1gyNssIDfm",[]
56,smartmoneyindex,"Dieses Twitter-Profil richtet sich an Finanzjournalisten, Vermögensverwalter sowie an Manager von Dach-Wikifolios. https://t.co/Pedl5ZZL8L","Frankfurt am Main, Deutschland",85,58,285,0,"If you don‘t deal with the real needs of the economy, you are just destined to lose more and more money with saturated visions of the virtual economy. $fb $shop $pypl $pins #smartmoney #postcovid #onlineshopping #cryptocurrency #NFT","['smartmoney', 'postcovid', 'onlineshopping', 'cryptocurrency', 'NFT']"
57,smartmoneyindex,"Dieses Twitter-Profil richtet sich an Finanzjournalisten, Vermögensverwalter sowie an Manager von Dach-Wikifolios. https://t.co/Pedl5ZZL8L","Frankfurt am Main, Deutschland",85,58,285,0,"Meta makes the most cash from online shopping. So do Paypal, Shopify and Pinterest. Smart money plays the reopening case, not the case of online shopping, online advertising or online inspiration... $fb $pypl $shop $pins #stockmarkets #smartmoney #reopening #postcovid","['stockmarkets', 'smartmoney', 'reopening', 'postcovid']"
